2020,2030,2040,2050,2060,2070,2080,2090,2100,Cluster
53933.87093622873,50622.66643923247,44053.98477386596,39481.05133613281,31243.810498984527,19073.052503770858,5168.605655803703,-6874.406380121053,-8842.889551208924,1
53931.433975342174,50601.54312743524,43234.32405931952,38088.47256110275,27864.373357475088,17196.052405603088,8842.840217204808,8341.484734982436,7746.859535006675,1
54252.88523213175,51579.82569884815,46232.546261546224,42636.30901508063,37846.28466559389,25934.060569915506,10595.671032213602,-2879.397310545734,-6081.002787042901,1
53935.6976438416,50594.67604722217,44796.517636558034,40983.27101001438,35344.04228428367,23849.581348329182,10677.246298225647,8447.022312865573,7887.174368291763,1
54201.72103578283,51678.22933223999,46786.45498142163,42942.43310879838,39565.92620255508,30512.970505664976,14146.89413279849,-635.7269409485398,-4674.49711903572,1
54336.614832822735,51490.36894098728,47059.61722506085,44295.97403465826,41075.64909327812,32894.22665221159,17277.993262436023,9715.464069681886,9109.53180151246,1
54322.9992500937,52617.33963768368,48816.80583857274,45719.6045769479,42647.0390063996,37022.34340238768,19371.78636197582,2438.0623171390303,-653.2887832165098,1
54214.33422354653,51700.44773168726,49615.36965343105,47181.2403642612,46086.19737627992,41346.9161566777,26508.67127859712,11381.17832821976,10616.219758999276,1
54322.9992500937,52618.18373809868,50747.09877372412,47957.08101716346,46516.61095179658,42108.64176708542,27017.939511905,8715.07894076975,4589.35007731629,1
54185.317068912125,51835.89228185503,50541.95062646224,49065.78659462187,50387.88529555006,48223.48857489478,41639.4394457416,27604.04467225993,21034.738071531672,1
54185.317068912125,51835.89228185503,50541.95062646224,49065.78659462187,50387.88529555006,48223.48857489478,41421.7631776816,27414.396466189926,20811.642276141672,1
53321.8179090088,51054.19413439701,33992.60301101451,22859.27525510406,10658.21363874302,-512.4901401965695,-6198.186670977599,-10512.879468991176,-14862.865776786355,1
53321.8179090088,51054.19413439701,36028.84100374951,24436.04640171006,13076.63226399102,1411.0579577384294,-6065.334788376601,-10431.10400502818,-13688.211656952357,1
53876.572947706,50977.43193773117,37808.14651700165,27239.70935541267,16196.57847339982,3930.79887099433,-4794.44387162442,-8888.620042567049,-10009.312127017649,1
53876.57304293799,50972.09820906647,39355.645530133625,30303.46662994699,18812.45260019165,5878.170921045899,-4236.614297763321,-8471.113049047999,-9372.889680472004,1
53856.21873736543,50995.45783811431,40907.2566767259,33580.61052400771,21229.811714168867,8108.07870229804,-3244.765137341761,-8280.745799796401,-9065.43996514068,1
53856.21873736543,50995.45783811431,41862.2969507499,35538.712404220714,23657.85114804687,10770.17280771604,-1349.6259697097605,-8050.294248307399,-8842.25502949968,1
53854.81600671959,50644.03271845038,45123.84326300986,38202.6538031962,25965.10199289108,13624.99162376306,1104.5452060605608,-6755.855118624579,-7874.388795153939,1
54101.221088380655,49212.76419925848,43474.03410020392,35033.9412503903,21681.514167032747,11843.855096010378,9473.61730435682,8857.7599557702,8319.17556168802,1
53854.81600671959,51134.272168200376,47053.77842267086,41342.1575106112,30144.38427476808,19163.60719013506,5418.30123344956,-5697.699745995578,-7288.781738541941,1
54246.15358944143,50650.81606963207,45633.49416243696,38814.677095062405,26498.07769859457,16325.115749383898,9286.24001987877,8712.540549689069,8124.329912951329,1
54252.88523213175,52128.55593591043,48522.83026672297,44246.87515121794,35495.80190170603,23773.820957673663,9700.048514491302,-3504.6047024820746,-5981.789466790921,1
54283.140286647336,52548.16038583326,48273.21037323741,43588.33852973453,34134.127486080346,23068.870669000324,10765.384568281968,9590.548007335245,9020.260196851405,1
54201.72103578283,52417.03654384891,48976.160869066414,44811.01323446712,37408.23508715828,27735.38300969976,13247.33510474891,-1137.3441793083198,-5132.959115095421,1
54323.29540778655,53408.41563963088,50422.09806225832,47057.5128091519,38985.98486569119,29469.83560902827,15247.50329888716,8597.07825218534,8013.94303938118,1
54323.29540778655,53669.54133655484,51229.07134489884,48252.34110628354,40737.67177553447,34144.63310937833,17667.716103529063,2234.34040180226,-1408.7812619298206,1
54125.82670362337,52923.78182982602,51833.2963433296,49321.28914449924,44731.826283972834,38102.305517074456,24364.45173084728,11098.249947796605,10495.175565513506,1
54322.9992500937,53877.32223578368,52947.84801050412,50157.04419538646,45583.21460575158,39077.57489666842,24452.839793215,7934.71399047975,4340.97484854029,1
54185.317068912125,53730.53213081339,52880.13319319509,50857.43523624621,51605.240324583305,47744.36905962098,39343.40094714252,23917.93416510928,17537.367905632123,1
54185.317068912125,53730.53223081339,52880.13316529509,50857.43523624621,51456.25436085331,47307.58469139098,39344.24445162252,23659.30133934728,17286.726137281126,1
53295.5885150995,43182.28744309915,34733.79472283087,23999.8022890764,11857.78941353816,675.5736286777095,-5748.4653045431005,-10175.095229023002,-14542.235728774996,1
54274.03783453469,40723.925661482186,32016.055033281493,22237.702892066594,10302.994142477162,2960.4277445426155,874.0677769616522,-4244.31226331226,-4309.299854491498,1
53321.8179090088,44157.20332445301,36355.00977186951,25601.19096170906,14431.08539020802,2452.9200089654305,-5569.257335836601,-10111.68680885618,-13228.242950905356,1
53876.57304293799,46318.34967985847,38124.04087117462,28465.707657013994,17112.55282517965,4485.460190074899,-4165.02963414332,-8661.054820890002,-9352.570736091,1
53857.83244371349,47297.79758083699,40095.14153237552,30887.18130944237,19347.415482098007,6112.06721824514,-3616.495278307538,-8187.027635028439,-9165.73379589762,1
53856.21873736543,48482.94640306931,42034.4549409449,33541.208141896714,21263.714983328868,8258.17765956404,-2783.631063373761,-7943.6614172444015,-8771.86234717368,1
